latitud,longitud,salud,bomberos,policia
-9.08,-79.33,0,0,0
-8.82,-75.64,0,0,0
-11.8,-76.05,0,0,0
-12.65,-76.81,0,0,0
-15.71,-75.27,0,0,0
-4.64,-76.85,0,0,0
-4.23,-80.85,0,0,0
-15.8,-74.54,0,0,0
-18.05,-69.95,0,0,0
-18.44,-71.46,0,0,0
-12.61,-76.79,0,0,0
-18.4,-71.48,0,0,0
-14.9,-74.19,0,0,0
-4.9,-80.74,17,3,9
-12.55,-76.89,0,0,0
-9.96,-74.79,0,0,0
-5.49,-80.0,1,0,0
-4.88,-80.83,6,0,2
-11.83,-77.74,0,0,0
-5.86,-81.28,0,0,0
-5.92,-81.62,0,0,0
-16.49,-74.07,0,0,0
-11.96,-76.74,17,2,4
-14.44,-72.17,2,0,1
-11.92,-77.34,0,0,0
-18.41,-69.54,0,0,0
-12.7,-76.63,4,2,2
-12.93,-76.78,0,0,0
-16.01,-74.49,0,0,0
-4.07,-81.04,1,0,1
-4.05,-81.04,1,0,1
-4.0,-80.97,1,0,1
-4.01,-80.95,1,0,1
-4.03,-81.03,2,0,1
-4.02,-80.88,1,0,1
-3.98,-81.08,0,0,0
-15.99,-74.49,0,0,0
-8.16,-74.42,0,0,0
-13.51,-72.5,0,0,2
-3.83,-80.82,0,0,0
-12.08,-77.27,0,0,0
-11.56,-75.74,0,0,0
-17.73,-70.81,0,0,2
-15.66,-71.84,3,0,1
-3.04,-80.11,0,0,0
-14.21,-71.5,0,0,2
-14.55,-72.65,0,0,0
-3.05,-80.85,0,0,0
-10.86,-75.05,0,0,0
-14.54,-72.66,0,0,0
-10.3,-75.69,0,0,0
-11.07,-74.69,0,0,0
-11.04,-76.65,0,0,0
-6.41,-78.83,2,0,0
-3.83,-77.48,0,0,0
-6.35,-75.83,0,0,0
-15.69,-71.92,2,0,1
-7.32,-74.98,0,0,1
-12.77,-76.54,3,1,1
-3.57,-77.8,0,0,0
-11.36,-74.6,0,0,0
-15.68,-74.87,0,0,0
-13.82,-69.7,0,0,0
-14.41,-73.77,0,0,0
-8.38,-74.34,0,0,0
-13.29,-76.24,2,0,0
-9.8,-75.59,0,0,0
-5.25,-79.43,5,0,2
-12.46,-76.98,0,0,0
-9.49,-79.51,0,0,0
-10.18,-75.7,0,0,0
-11.72,-75.81,0,0,0
-4.05,-80.86,0,0,0
-4.02,-80.94,1,0,1
-9.43,-75.81,0,0,0
-5.43,-76.28,0,0,0
-13.9,-75.83,0,0,3
-15.64,-74.13,0,0,0
-9.41,-76.22,0,0,0
-7.49,-79.96,0,0,0
-3.52,-77.41,0,0,0
-8.15,-75.94,0,0,0
-12.42,-76.87,1,1,3
-15.1,-75.13,0,0,0
-9.92,-75.76,0,0,0
-16.06,-74.6,0,0,0
-8.18,-77.88,2,0,1
-9.45,-77.62,14,1,2
-4.95,-80.81,3,0,2
-12.6,-76.77,0,1,0
-12.74,-76.86,0,0,0
-8.78,-74.91,0,0,0
-3.63,-80.72,2,0,1
-15.13,-73.28,0,0,0
-9.56,-75.62,0,0,0
-10.6,-75.35,2,1,1
-13.62,-74.8,0,0,0
-12.7,-77.08,0,0,0
-6.08,-75.71,0,0,0
-15.1,-75.77,0,0,0
-10.86,-76.64,0,0,0
-11.69,-74.37,0,0,0
-5.91,-81.74,0,0,0
-6.91,-76.59,0,0,0
-18.04,-69.89,0,0,0
-16.79,-72.67,0,0,0
-9.07,-75.79,0,0,0
-12.25,-76.31,1,0,0
-5.22,-81.02,0,0,0
-16.76,-70.61,4,0,2
-13.51,-71.83,10,3,5
-14.53,-76.31,0,0,0
-11.15,-78.17,0,0,0
-16.33,-72.45,0,0,0
-15.18,-75.91,0,0,0
-5.39,-80.93,0,0,0
-5.53,-80.82,6,1,1
-10.55,-75.43,2,1,1
-15.75,-71.74,0,0,0
-11.14,-73.93,0,0,0
-16.51,-72.21,0,0,0
-13.1,-75.8,0,0,0
-12.75,-73.32,0,0,0
-4.81,-76.47,0,0,1
-11.29,-73.31,0,0,0
-12.27,-76.88,19,4,11
-11.97,-77.33,0,0,0
-5.78,-78.69,0,0,1
-13.57,-77.08,0,0,0
-16.18,-69.81,0,0,0
-9.88,-74.99,0,0,1
-6.04,-75.23,0,0,0
-11.1,-75.14,0,0,0
-16.29,-72.45,1,0,1
-20.31,-69.35,0,0,0
-4.71,-77.88,0,0,0
-14.71,-75.74,0,0,0
-11.96,-76.37,0,0,1
-5.98,-76.65,0,0,0
-10.03,-75.65,0,0,0
-3.11,-80.83,0,0,0
-12.13,-77.03,239,26,62
-16.02,-74.41,0,0,0
-5.34,-78.65,0,0,0
-7.48,-79.96,0,0,0
-15.77,-71.76,0,0,0
-16.16,-70.52,1,0,1
-16.78,-71.47,0,0,0
-11.76,-77.62,0,0,0
-11.79,-77.24,7,2,3
-8.81,-75.76,0,0,0
-8.36,-75.09,0,0,0
-15.78,-74.6,0,0,0
-15.55,-75.53,0,0,0
-16.28,-73.2,0,0,0
-5.78,-80.31,0,0,0
-12.23,-77.25,0,0,0
-13.72,-69.89,0,0,0
-16.09,-73.3,0,0,0
-17.81,-69.85,0,0,0
-14.02,-72.92,0,0,0
-17.6,-72.43,0,0,0
-8.47,-74.34,0,0,0
-8.12,-78.12,1,0,0
-5.3,-80.95,0,0,0
